,Existing Sleeve Drawdown
2020-01-01,0.0
2020-02-01,-0.028233315297272354
2020-03-01,-0.0703637531003023
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,0.0
2020-07-01,0.0
2020-08-01,0.0
2020-09-01,-0.04916194069766289
2020-10-01,-0.0953028263002359
2020-11-01,-0.023089048980305615
2020-12-01,0.0
2021-01-01,-0.00031446597671636045
2021-02-01,0.0
2021-03-01,0.0
2021-04-01,0.0
2021-05-01,0.0
2021-06-01,0.0
2021-07-01,0.0
2021-08-01,0.0
2021-09-01,-0.056007571621196295
2021-10-01,0.0
2021-11-01,0.0
2021-12-01,0.0
2022-01-01,-0.10118903317258421
2022-02-01,-0.15333879271595663
2022-03-01,-0.10346478631157074
2022-04-01,-0.2578396461253425
2022-05-01,-0.2632979871383877
2022-06-01,-0.3443253872793852
2022-07-01,-0.24696418223638394
2022-08-01,-0.2971537590668949
2022-09-01,-0.3753301638237573
2022-10-01,-0.3607867121511682
2022-11-01,-0.3013796252594254
2022-12-01,-0.3488032295951099
2023-01-01,-0.24612195579070684
2023-02-01,-0.22695698520600294
2023-03-01,-0.1263164948357689
2023-04-01,-0.09457208574889586
2023-05-01,0.0
2023-06-01,0.0
2023-07-01,0.0
2023-08-01,0.0
2023-09-01,-0.06862212701958292
2023-10-01,-0.05330428225968509
2023-11-01,0.0
2023-12-01,0.0
2024-01-01,0.0
2024-02-01,0.0
2024-03-01,0.0
2024-04-01,-0.04805315007469413
2024-05-01,0.0
2024-06-01,0.0
2024-07-01,-0.034494920755851144
2024-08-01,-0.007862695904430006
2024-09-01,0.0
2024-10-01,0.0
2024-11-01,0.0
2024-12-01,0.0
2025-01-01,0.0
2025-02-01,-0.013384115140930297
2025-03-01,-0.10360280513173836
2025-04-01,-0.08115589925158939
2025-05-01,0.0
2025-06-01,0.0
2025-07-01,0.0
2025-08-01,-0.014129375235369723
2025-09-01,0.0
2025-10-01,0.0
2025-11-01,-0.020213398520589898
2025-12-01,-0.027740500411151614
