,Existing Sleeve Cumulative Return
2020-01-01,1.0
2020-02-01,0.9717666847027276
2020-03-01,0.9296362468996977
2020-04-01,1.0824089382278619
2020-05-01,1.1602450104302282
2020-06-01,1.2538414512545104
2020-07-01,1.345624693949903
2020-08-01,1.5301952733525301
2020-09-01,1.454967904068129
2020-10-01,1.384363339010772
2020-11-01,1.4948645197366615
2020-12-01,1.5621119339049876
2021-01-01,1.5616207028499518
2021-02-01,1.5803991129686215
2021-03-01,1.590184794984363
2021-04-01,1.7142457919376894
2021-05-01,1.7245562220658195
2021-06-01,1.8947963012952027
2021-07-01,1.9336613347956049
2021-08-01,2.0521977878468913
2021-09-01,1.9372591732631959
2021-10-01,2.129275402697537
2021-11-01,2.2482923538944837
2021-12-01,2.284394470898628
2022-01-01,2.0532388030035986
2022-02-01,1.934108180644026
2022-03-01,2.0480400851157676
2022-04-01,1.6953870089114367
2022-05-01,1.6829180048809569
2022-06-01,1.4978194600075716
2022-07-01,1.7202308584878312
2022-08-01,1.6055780666794701
2022-09-01,1.4269923198981607
2022-10-01,1.4602153004868044
2022-11-01,1.5959245213144961
2022-12-01,1.4875903017799743
2023-01-01,1.7221548359235808
2023-02-01,1.7659351887622132
2023-03-01,1.9958377685125024
2023-04-01,2.068354521112499
2023-05-01,2.3584077237944676
2023-06-01,2.5575874782049453
2023-07-01,2.6622122629067437
2023-08-01,2.708160909201107
2023-09-01,2.5223211473004397
2023-10-01,2.563804335692406
2023-11-01,2.857574145642138
2023-12-01,2.9996565046338426
2024-01-01,3.249474983941852
2024-02-01,3.6618955682270524
2024-03-01,3.7571653713512196
2024-04-01,3.5766217399062357
2024-05-01,3.8877437394983394
2024-06-01,4.264801073247772
2024-07-01,4.117687098186621
2024-08-01,4.231268239315938
2024-09-01,4.3489947640599445
2024-10-01,4.372066035227269
2024-11-01,4.595255636744067
2024-12-01,4.794833035006551
2025-01-01,4.8638456972051145
2025-02-01,4.798747426366003
2025-03-01,4.359937639246729
2025-04-01,4.4691159258274595
2025-05-01,5.052340585093813
2025-06-01,5.509456503957749
2025-07-01,5.743563928620887
2025-08-01,5.662410958685068
2025-09-01,5.81822556615809
2025-10-01,6.025546027589101
2025-11-01,5.903749264429285
2025-12-01,5.858394365533353
